Alpha_Metric,Beta_Metric
-0.025958734341494333,-1.4813350394077034
0.40792728283723173,-0.21173338474198045
0.5755477324262723,0.06442844377065368
0.6206095290516622,0.15474353960299778
0.611381441976337,0.18754595068937363
0.5900568349650511,0.23005800919328243
0.5485018678009532,0.24743306526108433
0.5621146268026312,0.24627438029696389
0.617951358918468,0.2482949465192269
0.6630096264950595,0.2543197113294875
0.6844193931446825,0.25926720208446963
0.6826029627881827,0.26228990786352074
0.6812317084730484,0.2662951005211035
0.7046142728341318,0.26731267995586844
0.7026374518841473,0.2641478318994287
0.6860055935634376,0.25263807808474725
0.683428707421653,0.24246092373295602
0.687007554419948,0.23739823003330585
0.6688426863687276,0.23114161521195414
0.6437092994343585,0.23181401859969833
0.6244105427680317,0.2316225234085663
0.6245747335022642,0.2692902508063578
0.6008238077430733,0.2788087106444075
0.5863936860165856,0.28099584888765106
0.5642244108279456,0.2802274907460652
0.5518228528449416,0.26810943193059145
0.5486699054933932,0.24316049464501044
0.5560028788386723,0.23700995959142523
0.5556836756706789,0.24452657340149903
0.5350071694045011,0.24643335656238471
0.5127403373495321,0.23927414127160235
0.4763834103891283,0.23074303080138556
0.45000166289440435,0.22143070344027596
0.4296862810786359,0.21053328927512655
0.40337673574179034,0.20912623745272457
0.3885313685487874,0.2098726979000078
0.36856914556740283,0.20996256907758085
0.3424704781149137,0.2130494090235426
0.3260438963978956,0.21936601356016774
0.35095843154004946,0.2211241908731071
0.3845799845812879,0.2171346892953862
0.40716430675757803,0.20942612067080676
0.418517241767695,0.20136468903809607
0.422155661186367,0.19512216160545798
0.4240460055451826,0.18328163335190184
0.4368265954403486,0.17910427571232052
0.44634359036327764,0.17984587332245514
0.43758966782198133,0.16849246673995485
0.4338939308004361,0.14797398408725773
0.42506573245767715,0.12640863489400136
0.4156663663137995,0.10390441822465736
0.41103296428032404,0.09494118580384374
0.42780866584174126,0.09313854221921575
0.45178664098330895,0.09040428438267258
0.4806581097520945,0.08671993199784796
0.49499765504787313,0.07741651040592881
0.48758042406768337,0.07190382801435753
0.4943370516264414,0.07529048751740904
0.5008578183417041,0.0842117077422274
0.5100173389552795,0.09048912015439892
0.486377058821526,0.08642615176094333
0.4543498226691517,0.07261224343097199
0.42936455364166365,0.06187318322862295
0.4355231210880987,0.05456859104418454
0.441816324341239,0.05434763183432467
0.428938868039744,0.05482918288607879
0.39921269519971436,0.04005720656509846
0.3935889998744288,0.012947443529660884
0.41623648021043763,0.004404753153487064
0.4367715240412589,0.003598497846134809
0.43814333194946525,0.004763322949441921
0.42640884522834793,0.017935320342136477
0.4122523180239644,0.021302047405286576
0.41228537334061666,0.011815016805467987
0.40517948433867096,0.014100924040585418
0.38997247773556704,0.024739425794827817
0.37444127733032895,0.03603379152998945
0.3734134228318443,0.03256071305827636
0.38217986395277337,0.02479435271221728
0.3953518236056307,0.011502909867468186
0.390945652065327,-0.0017966822544833651
0.4068952622898511,-0.0033195889596284015
0.42991689948842965,0.0018435242143361942
0.44918135830977207,0.009229127837672997
0.44580942024607767,0.015938621242503503
0.4311556141200744,0.008953926016853448
0.4275047867112621,-0.00041892220656623396
0.4376990738827904,0.00022300261994871056
0.41868360861685455,-5.667153909625838e-05
0.4092008045839155,0.0014608660046847215
0.3962196488665635,0.013505352921191566
0.37487762043989975,0.019796725457076225
0.37081277591174816,0.010487549922655633
0.3850392833879922,0.006491773929297423
0.36602498557565394,0.0050001327412661535
0.36287610077365584,-0.0031813520511196087
0.37795064653689053,-0.011024939602263743
0.4166911072643263,-0.013297967006394427
0.44502551233722787,0.003877384750343826
0.4432922396917346,0.020752993284402648
0.4143107884701681,0.014150820005462634
0.39233742415303746,0.014452922027260746
0.3665975757320168,0.03905681443427687
0.329729978528121,0.05369349026055477
0.2761285905478374,0.030547546095520108
0.2392375187186528,0.026945702994998353
0.23019487298271657,0.057757194892557887
0.23928714936245024,0.08758237097974443
0.24772523341439376,0.10263488118874214
0.2669497720608371,0.12397888078292887
0.25921136685931667,0.12945037657909114
0.26193191458544224,0.12809017386502275
0.27788158889341513,0.13165836892171345
0.3109952774031428,0.13079306321880488
0.33389948275568554,0.12682405991845766
0.3595384131544009,0.1342025928662259
0.37020888285057535,0.12936024645521504
0.35740511994215823,0.10783578431158268
0.3527849918146161,0.09283639096984554
0.3644425372605117,0.08342938637842937
0.3766515687182555,0.08760121409092149
0.39402229036489705,0.11392863409025031
0.4171073729650823,0.1351558949306633
0.4352690023061957,0.13731391085756234
0.4421510066862746,0.13600802020671104
0.4457985162963494,0.14697057375999473
0.44744699020411965,0.14993089618211572
0.47159285924948696,0.14501457584809954
0.4986857128043086,0.14091343185271085
0.531174873237053,0.14619808553288408
0.5571962532696937,0.16508722359339528
0.5775318494281825,0.19960679965194503
0.5711002676619948,0.2345517011531799
0.5570505079358836,0.2598022114911014
0.5184458729149036,0.2760706432765557
0.4845629281800837,0.28193256676905337
0.4660085833587792,0.2983324736900298
0.45738735530572466,0.3208329399050476
0.47512112612090524,0.34537230908067074
0.47986538908610815,0.36006950125545034
0.46666558735127583,0.3817583313579702
0.4585779032026829,0.39157911008495994
0.4468891804830078,0.36951411844970133
0.43332345003386613,0.3560881772164834
0.42551837530455006,0.34500719831500254
0.43928300720835933,0.3372347630717044
0.4610367015979571,0.33093851235427735
0.4790888133354957,0.3234894206108108
0.4789049573280162,0.31583294060268313
0.4701063383960038,0.31010295657140946
0.45619392126269076,0.30086527710682387
